"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Comapany_name*",1,1000,500.5,288.819436095749,500.5,500.5,370.65,1,1000,999,0,-1.20360059520479,9.13327250588017
"rank",2,1000,500.497,288.820278277243,500.5,500.49625,370.65,1,1000,999,2.68942664930075e-05,-1.20361825355441,9.13329913799741
"rank_change",3,1000,0.426,22.4241692681662,0,0.305,0,-186,224,410,1.1088066339774,28.1278889979038,0.709114495245561
"revenue",4,1000,15902.339,34762.9731785898,5647,8201.90475,4558.10544,1990.3,523964,521973.7,6.52269641168481,62.470408428483,1099.30173483687
"profit",5,1000,1344.70280561122,4511.31675884445,381.75,624.237257014028,519.42891,-8506,81417,89923,9.56915132716364,131.517296276683,142.66036204437
"no.of_employees",6,1000,34615.976,92024.0140034803,13000,18770.66625,12602.1,51,2200000,2199949,14.4991530997966,311.355835634813,2910.05483682228
"sector*",7,1000,10.871,5.71410623019996,10,10.78625,7.413,1,21,20,0.17535625606274,-1.2671572969931,0.180695904795903
"city*",8,1000,198.921,112.968866169948,205.5,199.7775,151.2252,1,402,401,-0.0735062350563783,-1.22606177467931,3.57238921783779
"state*",9,1000,23.386,13.9726246009201,24,23.34375,17.7912,1,46,45,-0.0569063027576743,-1.40549971565756,0.441853186294088
"newcomer*",10,1000,1.546,0.542381948610182,2,1.52875,0.7413,1,3,2,0.249733252709363,-1.07683101335788,0.0171516231936857
"ceo_founder*",11,1000,1.044,0.205197724417465,1,1,0,1,2,1,4.44004923829678,17.7317720095093,0.00648892179842739
"ceo_woman*",12,1000,1.068,0.251871871076227,1,1,0,1,2,1,3.42688525047237,9.75329881772279,0.00796488791129162
"profitable*",13,1000,1.854,0.353282901948012,2,1.9425,0,1,2,1,-2.00205556538392,2.01023972561035,0.0111717862854966
"Market.Cap",14,1000,34531.0910526316,126105.839732031,7607.5,13614.3443157895,9942.76038,2.2,2221176,2221173.8,11.2770036751047,156.526428905877,3987.81679801375
